MSN,YYYYMM,Value,Column_Order,Description,Unit
CLACEUS,197301,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197302,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197303,.004,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197304,.027,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197305,.036,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197306,.032,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197307,.027,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197308,.03,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197309,.025,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197310,.025,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197311,.023,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197312,.015,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197313,.245,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197401,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197402,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197403,.006,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197404,.021,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197405,.017,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197406,.013,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197407,.015,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197408,.019,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197409,.019,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197410,.017,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197411,.031,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197412,.01,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197413,.168,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197501,.002,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197502,.002,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197503,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197504,.006,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197505,.008,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197506,.006,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197507,.004,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197508,.004,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197509,.004,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197510,.006,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197511,.004,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197512,.002,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197513,.05,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197601,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197602,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197603,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197604,.002,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197605,.004,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197606,.002,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197607,.002,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197608,.002,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197609,.004,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197610,.004,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197611,.002,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197612,.002,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197613,.025,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197701,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197702,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197703,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197704,.002,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197705,.002,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197706,.004,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197707,.002,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197708,.002,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197709,.002,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197710,.002,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197711,.002,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197712,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197713,.019,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197801,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197802,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197803,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197804,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197805,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197806,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197807,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197808,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197809,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197810,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197811,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197812,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197813,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197901,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197902,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197903,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197904,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197905,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197906,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197907,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197908,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197909,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197910,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197911,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197912,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,197913,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198001,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198002,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198003,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198004,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198005,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198006,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198007,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198008,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198009,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198010,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198011,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198012,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198013,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198101,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198102,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198103,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198104,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198105,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198106,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198107,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198108,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198109,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198110,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198111,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198112,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198113,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198201,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198202,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198203,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198204,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198205,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198206,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198207,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198208,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198209,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198210,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198211,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198212,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198213,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198301,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198302,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLACEUS,198303,0,"1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
